#wavelength	flux_tell_corrected	flux_not_tell_corrected	variance/error
3320.5430650209983	1.2546911063775874e-17	1.2546911063775874e-17	2.52075347475e-17
3320.7410992500813	1.2546627533837784e-17	1.2546627533837784e-17	2.679524647760001e-17
3320.9391334791644	1.2546344179697369e-17	1.2546344179697369e-17	2.579876877799999e-17
3321.1371677082475	1.2546061001216951e-17	1.2546061001216951e-17	2.568143917037999e-17
3321.3352019373306	1.2545777998258748e-17	1.2545777998258748e-17	2.4914153412e-17
3321.5332361664136	1.9267348656843243e-17	1.9267348656843243e-17	2.507702626286e-17
3321.732260569217	1.9266912390098476e-17	1.9266912390098476e-17	2.542181063637001e-17
3321.9302947983006	1.926647856344321e-17	1.926647856344321e-17	2.602055894222e-17
3322.1283290273836	1.254464632781334e-17	1.254464632781334e-17	2.503822033608e-17
3322.3263632564663	1.9265611716073242e-17	1.9265611716073242e-17	2.60398578348e-17
3322.5243974855493	1.9265178694933616e-17	1.9265178694933616e-17	2.470586807544e-17
3322.7224317146324	1.926474594187403e-17	1.926474594187403e-17	2.557945198541e-17
3322.920465943716	1.9264313456681634e-17	1.9264313456681634e-17	2.471299223404e-17
3323.118500172799	1.9263881239143442e-17	1.9263881239143442e-17	2.496454243856999e-17
3323.316534401882	1.8252797489789187e-17	1.8252797489789187e-17	2.510414947611e-17
3323.5145686408678	1.254267510569012e-17	1.254267510569012e-17	2.498428758464001e-17
3323.712602869951	1.3243518792098935e-17	1.3243518792098935e-17	2.518021452232e-17
3323.910637099034	1.2542113466198487e-17	1.2542113466198487e-17	2.469259540123999e-17
3324.108671328117	1.2541832906895319e-17	1.2541832906895319e-17	2.497998420792e-17
3324.3067055572	1.2183758794028479e-17	1.2183758794028479e-17	2.463817636962e-17
3324.5047397862836	1.2183486575561142e-17	1.2183486575561142e-17	2.584515011610001e-17
3324.7027740153667	1.2183214525317628e-17	1.2183214525317628e-17	2.501788556676e-17
3324.9008082444498	1.218294264316236e-17	1.218294264316236e-17	2.473292758848e-17
3325.098842473533	1.218267092895968e-17	1.218267092895968e-17	2.4903196781e-17
3325.296876702616	1.2182399382573836e-17	1.2182399382573836e-17	2.394650614131e-17
3325.4949109316995	1.1326962192518729e-17	1.1326962192518729e-17	2.432806021983e-17
3325.6929451607825	1.2181856792709186e-17	1.2181856792709186e-17	2.425020434606e-17
3325.890979389865	1.1326458003031589e-17	1.1326458003031589e-17	2.491130896016001e-17
3326.0890136189482	1.2181314872480587e-17	1.2181314872480587e-17	2.461974659705e-17
3326.2870478480318	1.218104416313948e-17	1.218104416313948e-17	2.465830147688e-17
3326.485082077115	1.2180773620798806e-17	1.2180773620798806e-17	2.469280065264e-17
3326.683116306198	1.3239091580615806e-17	1.3239091580615806e-17	2.399264968885001e-17
3326.881150535281	1.323879788845038e-17	1.323879788845038e-17	2.346964067581e-17
3327.079184774267	1.3238504377339498e-17	1.3238504377339498e-17	2.3386559735e-17
3327.2782091671675	1.3238209580978284e-17	1.3238209580978284e-17	2.367802140018001e-17
3327.4762433962505	1.2179422061192996e-17	1.2179422061192996e-17	2.381759900955e-17
3327.674277635236	1.2179152518805102e-17	1.2179152518805102e-17	2.373307373522999e-17
3327.8723118643193	1.2178883142473992e-17	1.2178883142473992e-17	2.33510002544e-17
3328.0703460934023	1.225073376042837e-17	1.225073376042837e-17	2.342818373056e-17
3328.268380322486	1.217834488739369e-17	1.217834488739369e-17	2.3444232418e-17
3328.466414551569	1.2250192651250375e-17	1.2250192651250375e-17	2.33702473125e-17
3328.664448780652	1.2177807294841775e-17	1.2177807294841775e-17	2.36868456744e-17
3328.862483009735	1.2177538746670837e-17	1.2177538746670837e-17	2.329136712511e-17
3329.060517238818	1.2177270363720079e-17	1.2177270363720079e-17	2.316820011090001e-17
3329.2585514679013	1.224911242948787e-17	1.224911242948787e-17	2.337719494644e-17
3329.4565856969843	1.3234994857130067e-17	1.3234994857130067e-17	2.22075911876e-17
3329.6546199260674	1.3234703687280864e-17	1.3234703687280864e-17	2.264326819482e-17
3329.8526541650535	1.3234412696398085e-17	1.3234412696398085e-17	2.399089173299999e-17
3330.0506883941366	1.3234121884361064e-17	1.3234121884361064e-17	2.237799128788e-17
3330.2487226232197	1.224776588447342e-17	1.224776588447342e-17	2.30638669183e-17
3330.4467568523023	1.217539629765817e-17	1.217539629765817e-17	2.282890951768e-17
3330.6447910813854	1.2247228424045796e-17	1.2247228424045796e-17	2.319763137964999e-17
3330.842825310469	1.224695994132802e-17	1.224695994132802e-17	2.256789145968e-17
3331.040859539552	1.2246691623422273e-17	1.2246691623422273e-17	2.3563706571e-17
3331.238893768635	1.2246423470189464e-17	1.2246423470189464e-17	2.234399364317e-17
3331.436927997718	1.2246155481490419e-17	1.2246155481490419e-17	2.272301060072001e-17
3331.6349622367043	1.2245887657172498e-17	1.2245887657172498e-17	2.286123595083999e-17
3331.832996465787	1.3231512598661359e-17	1.3231512598661359e-17	2.231422182971999e-17
3332.03103069487	1.4705494022064386e-17	1.4705494022064386e-17	2.294033586906e-17
3332.229064923953	1.513725646722381e-17	1.513725646722381e-17	2.285010671856e-17
3332.4270991530366	1.470485213872969e-17	1.470485213872969e-17	2.244035229576e-17
3332.6251333821197	1.4704531492022995e-17	1.4704531492022995e-17	2.234741125603e-17
3332.824157784923	1.470420943997067e-17	1.470420943997067e-17	2.351715565452e-17
3333.022192014006	1.4703889186910473e-17	1.4703889186910473e-17	2.281484829324e-17
3333.220226243089	1.4703569129930396e-17	1.4703569129930396e-17	2.253757506036e-17
3333.418260482075	1.5135276229403558e-17	1.5135276229403558e-17	2.326660994415e-17
3333.616294711158	1.5617841710928012e-17	1.5617841710928012e-17	2.232377108692e-17
3333.814328940241	1.6641892318581244e-17	1.6641892318581244e-17	2.364268272219999e-17
